deporte	liga	local	visita	fecha_hora_evento
Futbol	España / La Liga	Celta Vigo	Real Sociedad	2024-01-21T10:00Z
Futbol	España / La Liga	Real Madrid	Almeria	2024-01-21T10:00Z
Futbol	España / La Liga	Granada	Atletico Madrid	2024-01-21T10:00Z
Futbol	España / La Liga	Valencia	Athletic	2024-01-21T10:00Z
Futbol	España / La Liga	Alaves	Cadiz	2024-01-21T10:00Z
Futbol	España / La Liga	Girona	Sevilla	2024-01-21T10:00Z
Futbol	España / La Liga	Betis	Barcelona	2024-01-21T10:00Z
Futbol	España / La Liga	Osasuna	Getafe	2024-01-21T10:00Z
Futbol	España / La Liga	Villarreal	Mallorca	2024-01-21T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Las Palmas	2024-01-21T10:00Z
Futbol	España / La Liga	Getafe	Granada	2024-01-28T10:00Z
Futbol	España / La Liga	Las Palmas	Real Madrid	2024-01-28T10:00Z
Futbol	España / La Liga	Cadiz	Athletic	2024-01-28T10:00Z
Futbol	España / La Liga	Mallorca	Betis	2024-01-28T10:00Z
Futbol	España / La Liga	Sevilla	Osasuna	2024-01-28T10:00Z
Futbol	España / La Liga	Real Sociedad	Rayo Vallecano	2024-01-28T10:00Z
Futbol	España / La Liga	Almeria	Alaves	2024-01-28T10:00Z
Futbol	España / La Liga	Atletico Madrid	Valencia	2024-01-28T10:00Z
Futbol	España / La Liga	Barcelona	Villarreal	2024-01-28T10:00Z
Futbol	España / La Liga	Celta Vigo	Girona	2024-01-28T10:00Z
Futbol	España / La Liga	Athletic	Mallorca	2024-02-04T10:00Z
Futbol	España / La Liga	Betis	Getafe	2024-02-04T10:00Z
Futbol	España / La Liga	Girona	Real Sociedad	2024-02-04T10:00Z
Futbol	España / La Liga	Granada	Las Palmas	2024-02-04T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Sevilla	2024-02-04T10:00Z
Futbol	España / La Liga	Alaves	Barcelona	2024-02-04T10:00Z
Futbol	España / La Liga	Valencia	Almeria	2024-02-04T10:00Z
Futbol	España / La Liga	Real Madrid	Atletico Madrid	2024-02-04T10:00Z
Futbol	España / La Liga	Villarreal	Cadiz	2024-02-04T10:00Z
Futbol	España / La Liga	Osasuna	Celta Vigo	2024-02-04T10:00Z
Futbol	España / La Liga	Almeria	Athletic	2024-02-11T10:00Z
Futbol	España / La Liga	Barcelona	Granada	2024-02-11T10:00Z
Futbol	España / La Liga	Mallorca	Rayo Vallecano	2024-02-11T10:00Z
Futbol	España / La Liga	Las Palmas	Valencia	2024-02-11T10:00Z
Futbol	España / La Liga	Alaves	Villarreal	2024-02-11T10:00Z
Futbol	España / La Liga	Sevilla	Atletico Madrid	2024-02-11T10:00Z
Futbol	España / La Liga	Cadiz	Betis	2024-02-11T10:00Z
Futbol	España / La Liga	Getafe	Celta Vigo	2024-02-11T10:00Z
Futbol	España / La Liga	Real Madrid	Girona	2024-02-11T10:00Z
Futbol	España / La Liga	Real Sociedad	Osasuna	2024-02-11T10:00Z
Futbol	España / La Liga	Athletic	Girona	2024-02-18T10:00Z
Futbol	España / La Liga	Atletico Madrid	Las Palmas	2024-02-18T10:00Z
Futbol	España / La Liga	Mallorca	Real Sociedad	2024-02-18T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Real Madrid	2024-02-18T10:00Z
Futbol	España / La Liga	Granada	Almeria	2024-02-18T10:00Z
Futbol	España / La Liga	Celta Vigo	Barcelona	2024-02-18T10:00Z
Futbol	España / La Liga	Osasuna	Cadiz	2024-02-18T10:00Z
Futbol	España / La Liga	Villarreal	Getafe	2024-02-18T10:00Z
Futbol	España / La Liga	Valencia	Sevilla	2024-02-18T10:00Z
Futbol	España / La Liga	Betis	Alaves	2024-02-18T10:00Z
